Web Server Misconfiguration,File Path,Category
IIS server is using default cipher suites,C:\TayqaSale\WebServices\MessagingWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CrmWS,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\CampaignManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\CampaignManagementWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\DynamicToolManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\DynamicToolManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\CampaignManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\CrmWS,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\CrmWS,Denial of service attacks
Ensure host headers are on all sites,C:\TayqaSale\WebServices\CrmWS,Denial of service attacks
IIS server is using default cipher suites,C:\TayqaSale\WebServices\ChecklistWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\ChecklistWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ChecklistWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ChecklistWS,SSL
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\ChecklistWS,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\ChecklistWS,Denial of service attacks
Ensure host headers are on all sites,C:\TayqaSale\WebServices\ChecklistWS,Denial of service attacks
IIS server is using default cipher suites,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\VersionManagement\TayqaSaleInstaller,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\VersionManagement\TayqaSaleInstaller,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\VersionManagement\TayqaSaleInstaller,SSL
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\VersionManagement\TayqaSaleInstaller,SSL
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Denial of service attacks
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Permission Management
Ensure HTTP Trace Method is disabled,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Dangerous methods enabled
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Brute force attacks
Ensure httpcookie mode is configured for session state,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Session hijacking
Ensure global authorization rule is set to restrict access,C:\TayqaSale\VersionManagement\TayqaSaleInstaller,Permission Management
Ensure host headers are on all sites,C:\TayqaSale\WebServices\InventoryManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\InventoryManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\InventoryManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\InventoryManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\InventoryManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\InventoryManagementWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\InventoryManagementWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\LoyaltyManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\LoyaltyManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\LoyaltyManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\LoyaltyManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\LoyaltyManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\LoyaltyManagementWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\LoyaltyManagementWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\PenetrationWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\PenetrationWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\PenetrationWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\PenetrationWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\PenetrationWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\PenetrationWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\PenetrationWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\ProxyWebServiceWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\ProxyWebServiceWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\ProxyWebServiceWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ProxyWebServiceWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ProxyWebServiceWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\ProxyWebServiceWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\ProxyWebServiceWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\RequestProcessorWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\RequestProcessorWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\RequestProcessorWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\RequestProcessorWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\RequestProcessorWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\RequestProcessorWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\RequestProcessorWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\ReportManagerWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\ReportManagerWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\ReportManagerWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ReportManagerWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\ReportManagerWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\ReportManagerWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\ReportManagerWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\UserIdentityManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\UserIdentityManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\UserIdentityManagementWS,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\WorkPlanManagementWS,Denial of service attacks
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\WorkPlanManagementWS,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\WorkPlanManagementWS,SSL
