"Web Server Misconfiguration","File Path","Category"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CampaignManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DynamicToolManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\DynamicToolManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CampaignManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CrmWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CrmWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ChecklistWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ChecklistWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Denial of service attacks"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Permission Management"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Dangerous methods enabled"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Brute force attacks"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Session hijacking"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\VersionManagement\TayqaSaleInstaller","Permission Management"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\InventoryManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\InventoryManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\LoyaltyManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\LoyaltyManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\PenetrationWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\PenetrationWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ProxyWebServiceWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ProxyWebServiceWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\RequestProcessorWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\RequestProcessorWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ReportManagerWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ReportManagerWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\UserIdentityManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\UserIdentityManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\WorkPlanManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\WorkPlanManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\MessagingWS","Denial of service attacks"
