"Web Server Misconfiguration","File Path","Category"
"Ensure application pool identity is configured for all application pools","IIS Server","Permission Management"
"Ensure Default IIS web log location is moved","IIS Server","Logging"
"Ensure deployment method retail is set","IIS Server","Information Disclosure"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ServicePortal\WebUI","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\ServicePortal\Core","Permission Management"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Denial of service attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Dangerous methods enabled"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\LicenseService","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Brute force attacks"
"Ensure unique application pools is set for sites","IIS Server","Permission Management"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Permission Management"
"Ensure web content is on non-system partition","%SystemDrive%\inetpub\wwwroot","Sensitive File Access"
